Data from http://vo.imcce.fr/insola/earth/online/earth/earth.html
Five columns for each time as follows:
  time: thousands of years from present
  eccentricity: (aphelion-perihelion)/(aphelion+perihelion)
  obliquity: radians
  perihelion: angle between equinox & perihelion, radians
  insolation: daily mean TOA solar flux at 65N summer solstice, W/m2
time	eccentricity	obliquity	perihelion	insolation	global.insolation
-333	0.0316914448561463	0.423297914059357	5.21480229113062	537.574461639009	342.121847801131
-332	0.0321093761065355	0.423221409219676	5.50298151964547	532.070037573592	342.126413707723
-331	0.032477305402194	0.422720490979413	5.78574509886071	524.134880868568	342.130483007563
-330	0.0328683301462915	0.42181075716995	6.07252092605223	514.227731770781	342.134858724884
-329	0.0332414780979568	0.420519921389825	0.0748719884057998	503.259683546168	342.139083384919
-328	0.0335543430101253	0.418891529823356	0.360077545236391	492.084195395244	342.142662418869
-327	0.0338674443646598	0.416971527763117	0.647275699530319	481.470421037219	342.146277837334
-326	0.0342122736937474	0.414812479055222	0.933031537292255	472.236703191482	342.150298613052
-325	0.0344474257671893	0.41248227862346	1.22204619819786	465.027856407495	342.153063972143
-324	0.0347329104313505	0.410042577871619	1.51021988803003	460.242318608464	342.156446785066
-323	0.0349790662888139	0.407560812217121	1.79857118999424	458.176168765396	342.159386073043
-322	0.0352024839341445	0.405110939519569	2.09100747575145	458.910698090352	342.162071885619
-321	0.0354152275120833	0.402755773166164	2.38127217072134	462.18761705844	342.164645333558
-320	0.0355786294092773	0.400562040085663	2.67283586149057	467.694983361725	342.166632488986
-319	0.0358058482246728	0.398592364402058	2.96767191668972	474.91218358921	342.169410993598
-318	0.0359054832442472	0.396898898259594	3.26013132947038	482.994014173615	342.17063496272
-317	0.036043092957332	0.39552575646096	3.55497345890907	491.271695963723	342.172331047347
-316	0.0361914446530279	0.3945117402573	3.84955765446289	498.867117928784	342.174166826191
-315	0.0362573203267726	0.393874306838393	4.14430962373325	504.966762669997	342.174984432166
-314	0.0363176509890657	0.393627061154236	4.44026635088318	509.003240063184	342.175734526613
-313	0.0364088068669981	0.39376702379854	4.73284008725475	510.572856293844	342.176870247699
-312	0.0364098581720367	0.39427554774487	5.02934937942274	509.418655368271	342.176883362696
